ID X CRN ERROR
NY01 31.17 1396 421
NY02 50.46 1893 404
NY03 62.09 1339 402
NY04 71.63 2227 403
NY05 82.84 3561 439
NY06 92.98 4188 487
NY07 101.41 5093 695
NY08 150.26 7905 600
NY09 197.83 9153 583
NY10 213.02 8870 581
NY11 219.74 10697 603
NY12 231.11 10255 522
NY13 236.09 7640 542
NY14 248.07 9715 1229
NY15 260.31 9465 636
NY16 267.39 12326 781
NY17 274.01 6194 590
NY18 280.1 7150 789
NY19 288.49 9034 648
NY20 298.58 11396 596
