ID X CRN ERROR
BH05 79.3 360 780
BH14 103.7 520 770 
BH15 124.3 900 870
BH16 144.8 1570 920
BH17 162.9 11090 950
BH18 178.6 6520 860
BH19 195.4 3370 900
BH20 212.7 9640 900
BH21 227.9 3010 770
BH22 246.7 3420 890
BH23 259.4 3110 800
