Time RSL
20000 -83.43
19000 -82.77
18000 -82.26
17000 -80.01
16000 -77.44
15000 -75.56
14500 -71.44
14000 -62.56
13500 -51.18
13000 -49.42
12000 -45.95
11500 -43.88
11000 -41.65
10000 -29.60
9000 -22.46
8000 -14.76
7000 -7.97
6000 -5.49
5000 -3.74
4000 -2.57
3000 -1.54
2000 -0.76
1000 -0.30
0 0.00
