Time RSL
12100 -31.5425911
11100 -24.1879539
10100 -16.2801056
9100 -9.25799465
8100 -6.52582836
7100 -4.54052448
6100 -3.17640018
5100 -1.96187496
4100 -1.01696682
3100 -0.416684151
100 0
90 0.03
80 0.07213
70 0.11086
60 0.14997
50 0.18843
40 0.22544
30 0.26138
20 0.29555
10 0.32870
0 0.36051
