Time RSL
20000 -98.7381668
19000 -96.8229675
18000 -94.6432571
17000 -90.4876328
16000 -86.072319
15000 -82.5163116
14500 -77.5433044
14000 -68.2035294
13500 -56.3362846
13000 -54.0739784
12000 -49.6368904
11500 -47.0858269
11000 -44.494751
10000 -31.5242805
9000 -23.8168602
8000 -15.5432901
7000 -8.28844833
6000 -5.65786934
5000 -3.81545377
4000 -2.62161517
3000 -1.56259823
2000 -0.760427475
1000 -0.291907072
0 0
