Time RSL
20000 -76.9766617
19000 -78.0865097
18000 -78.4891205
17000 -76.8449631
16000 -75.39048
15000 -75.0618286
14500 -71.6473694
14000 -63.4478683
13500 -52.6006355
13000 -51.0361481
12000 -47.9035416
11500 -45.8489418
11000 -43.6017227
10000 -31.4998398
9000 -24.2157021
8000 -16.1666679
7000 -9.01603508
6000 -6.20497179
5000 -4.23097706
4000 -2.8634305
3000 -1.68958139
2000 -0.815300226
1000 -0.307480812
0 0
