ID X CRN ERROR
SM01 152.95 9650 949
SM02 166.96 6706 926
SM03 126.21 4330 883
SM04 116.42 5937 896
SM06 72.58 2735 849
SM07 77.00 3415 863
SM08 84.92 4553 866
SM09 99.19 4972 874
SM10 110.31 5241 885
SM11 120.31 4151 875
SM121 134.71 3227 855
SM122 134.71 4547 862
SM13 146 2514 845
SM14 160.24 5720 868
SM15 187.57 5503 867
