DistAlong ZIDW
30.0 1.7799999713897705
32.0 1.6221132450366078
34.0 1.4299999475479128
42.0 1.2200000286102295
44.0 1.1179011420190572
46.0 1.0
50.0 1.2300000190734863
52.0 1.2300000190734863
54.0 1.0800000429153442
56.0 1.0800000429153442
62.0 1.399999976158142
64.0 1.1052538991167908
66.0 0.7799999713897705
70.0 0.6800000071525574
72.0 0.6800000071525574
74.0 0.6299999952316284
76.0 0.6299999952316284
78.0 0.5400000214576721
80.0 0.5400000214576721
82.0 0.43999999761581415
84.0 0.43999999761581415
90.0 0.3899999856948853
92.0 0.3899999856948853
94.0 0.3700000047683716
96.0 0.3700000047683716
98.0 0.33000001311302185
100.0 0.33000001311302185
102.0 0.2899999916553497
104.0 0.2899999916553497
110.0 0.23000000417232516
112.0 0.23000000417232516
114.0 0.239999994635582
116.0 0.239999994635582
120.0 0.25
122.0 0.26948100820668697
124.0 0.2899999916553497
130.0 0.18000000715255735
132.0 0.18000000715255735
134.0 0.17000000178813934
136.0 0.17000000178813934
140.0 0.17000000178813934
142.0 0.1260012933118801
144.0 0.07999999821186066
152.0 0.10999999940395357
154.0 0.13938327595050176
156.0 0.17000000178813934
160.0 0.1599999964237213
162.0 0.14038950028231156
164.0 0.119999997317791
168.0 0.10999999940395357
170.0 0.10999999940395357
172.0 0.059999998658895486
174.0 0.059999998658895486
180.0 -0.30000001192092896
182.0 -0.30000001192092896
184.0 -0.33000001311302185
186.0 -0.33000001311302185
188.0 -0.3899999856948853
190.0 -0.3899999856948853
192.0 -0.4000000059604645
194.0 -0.4000000059604645
200.0 -0.5400000214576721
202.0 -0.5400000214576721
204.0 -0.5899999737739563
206.0 -0.5899999737739563
208.0 -0.8199999928474426
210.0 -0.8199999928474426
212.0 -0.8999999761581421
214.0 -0.8999999761581421
220.0 -1.1599999666213991
222.0 -1.1599999666213991
224.0 -0.9499999880790709
226.0 -0.9499999880790709
228.0 -1.9199999570846555
230.0 -1.9199999570846555
232.0 -2.25
234.0 -2.25
240.0 -3.009999990463257
242.0 -3.009999990463257
244.0 -2.799999952316284
246.0 -2.799999952316284
250.0 -2.3499999046325684
252.0 -2.5277407733544743
254.0 -2.7100000381469727
260.0 -3.4600000381469727
262.0 -3.4600000381469727
270.0 -3.9500000476837163
272.0 -4.053780157909772
274.0 -4.1599998474121085
278.0 -4.360000133514403
280.0 -4.360000133514403
282.0 -4.329999923706056
284.0 -4.329999923706056
290.0 -4.349999904632568
292.0 -4.389567370790428
294.0 -4.429999828338623
298.0 -4.5
300.0 -4.5
302.0 -4.510000228881836
304.0 -4.510000228881836
310.0 -4.519999980926514
312.0 -4.519999980926514
314.0 -4.489999771118164
316.0 -4.489999771118164
318.0 -4.3400001525878915
320.0 -4.3400001525878915
