DistAlong ZIDW
66.0 0.25999999046325684
70.0 -0.239999994635582
72.0 -0.2830282410376578
74.0 -0.33000001311302185
78.0 -0.550000011920929
80.0 -0.550000011920929
82.0 -0.7200000286102295
84.0 -0.7200000286102295
86.0 -0.8500000238418579
88.0 -0.8500000238418579
90.0 -0.9100000262260436
92.0 -0.9100000262260436
96.0 -0.8399999737739563
98.0 -0.8399999737739563
104.0 -1.0700000524520874
106.0 -1.0700000524520874
112.0 -1.1699999570846558
114.0 -1.1699999570846558
118.0 -1.309999942779541
120.0 -1.3927655785541069
122.0 -1.4800000190734863
126.0 -1.6000000238418581
128.0 -1.6000000238418581
130.0 -1.809999942779541
132.0 -1.809999942779541
134.0 -1.950000047683716
136.0 -1.950000047683716
138.0 -2.0
140.0 -2.0
144.0 -2.1199998855590816
146.0 -2.1248916585278943
148.0 -2.1300001144409184
152.0 -2.259999990463257
154.0 -2.1963305234826316
156.0 -2.1300001144409184
160.0 -2.1800000667572017
162.0 -2.1800000667572017
168.0 -2.4200000762939453
170.0 -2.4200000762939453
178.0 -2.440000057220459
180.0 -2.440000057220459
182.0 -2.740000009536743
184.0 -2.740000009536743
186.0 -3.1700000762939453
188.0 -3.1700000762939453
192.0 -3.25
194.0 -3.2057332545013297
196.0 -3.1600000858306885
200.0 -3.150000095367432
202.0 -3.150000095367432
204.0 -3.640000104904175
206.0 -3.640000104904175
208.0 -3.2799999713897705
210.0 -3.2799999713897705
212.0 -3.029999971389772
214.0 -3.029999971389772
216.0 -3.509999990463257
218.0 -3.509999990463257
220.0 -3.6300001144409184
222.0 -3.6300001144409184
226.0 -4.190000057220459
228.0 -4.190000057220459
234.0 -4.489999771118164
236.0 -4.489999771118164
242.0 -4.789999961853027
244.0 -4.789999961853027
248.0 -4.889999866485597
250.0 -4.889999866485597
252.0 -4.599999904632568
254.0 -4.599999904632568
256.0 -4.849999904632568
258.0 -4.849999904632568
260.0 -5.46999979019165
262.0 -5.46999979019165
266.0 -5.619999885559082
268.0 -5.6447048462197005
270.0 -5.670000076293945
274.0 -5.739999771118164
276.0 -5.739999771118164
278.0 -5.739999771118164
282.0 -5.369999885559081
284.0 -5.369999885559081
286.0 -5.110000133514403
288.0 -5.110000133514403
290.0 -5.449999809265137
292.0 -5.449999809265137
300.0 -6.090000152587892
