time rsl_rate
20000 0.000786
19000 0.000786
18000 0.000817
17000 0.002480
16000 0.002792
15000 0.002145
14500 0.008387
14000 0.018009
13500 0.022989
13000 0.003670
12000 0.003642
11500 0.004272
11000 0.004626
10000 0.012220
9000 0.007355
8000 0.007908
7000 0.007022
6000 0.002732
5000 0.001985
4000 0.001364
3000 0.001215
2000 0.000945
1000 0.000600
0 0.000417
