Time RSL
20000 1.47503901
19000 0.945736885
18000 0.589457273
17000 -1.07249308
16000 -4.41545105
15000 -12.6746159
14500 -15.0054283
14000 -11.8094463
13500 -5.561306
13000 -7.63877058
12000 -11.4639587
11500 -12.8064632
11000 -13.6199303
10000 -7.16774559
9000 -4.4840374
8000 -0.336662054
7000 3.47891712
6000 3.60676479
5000 3.25153685
4000 2.6687746
3000 2.14721966
2000 1.55192709
1000 0.787601709
0 0
